num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
26,7.57692,3.38462,0.685279,1
119,6.01681,4.0084,0.5,1
172,5.81977,4.1686,0.455544,1
28,7.14286,3.17857,0.695,1
75,5.82667,3.81333,0.517162,1
88,5.69318,3.70455,0.52495,1
69,5.95652,3.55072,0.571776,1
388,4.86856,4.19845,0.343039,1
323,5.09598,4.31269,0.349939,1
327,5.9633,4.88685,0.348205,1
102,5.53922,3.70588,0.511504,1
331,5.12387,4.50755,0.315448,1
167,5.71856,4.08982,0.459686,1
74,5.74324,3.71622,0.527059,1
47,6.61702,3.65957,0.598071,1
18,7.77778,3.38889,0.692857,1
17,8.64706,3.52941,0.707483,1
237,5.13502,4.2827,0.360723,1
34,6.44118,3.41176,0.625571,1
1,11,1,1,1
87,5.5977,3.73563,0.511294,1
164,5.79268,4.0122,0.48,1
29,7,3.24138,0.679803,1
22,6.90909,3.27273,0.671053,1
1,11,1,1,1
367,5.21526,4.59128,0.31139,1
665,6.24812,5.65414,0.255114,1
394,6.01269,5.0533,0.325876,1
18,8.55556,3.44444,0.714286,1
66,6.51515,3.75758,0.576744,1
294,4.82653,4,0.378436,1
57,6.50877,3.49123,0.617251,1
104,5.76923,3.88462,0.5,1
335,6.07164,5.05672,0.331858,1
85,5.51765,3.76471,0.498934,1
19,7.89474,3.10526,0.733333,1
1,11,1,1,1
117,6.53846,3.93162,0.551634,1
294,4.82653,4,0.378436,1
37,6.45946,3.54054,0.606695,1
254,4.83465,4.04724,0.369707,1
21,7.09524,3.19048,0.691275,1
20,7.45,3.35,0.684564,1
305,5.39016,4.40328,0.368613,1
22,7.22727,3.31818,0.679245,1
67,6.19403,3.65672,0.571084,1
60,6.05,3.41667,0.600551,1
124,5.52419,3.77419,0.49781,1
156,5.00641,3.80128,0.440461,1
99,5.61616,3.53535,0.548561,1
52,6.42308,3.73077,0.57485,1
58,5.77586,3.46552,0.573134,1
392,5.04847,4.54082,0.298636,1
105,5.84762,3.88571,0.506515,1
29,8.06897,3.51724,0.688034,1
165,5.66667,4.15758,0.442781,1
46,6.26087,3.58696,0.586806,1
296,4.8277,4.02365,0.373688,1
36,6.30556,3.33333,0.629956,1
355,5.20282,4.40282,0.345966,1
151,6.68874,3.72185,0.593069,1
18,9.05556,3.61111,0.711656,1
44,5.63636,3.29545,0.592742,1
168,5.29762,3.97619,0.438202,1
251,6.48207,3.99203,0.538414,1
187,5.81818,4.18717,0.452206,1
127,5.64567,3.96063,0.475593,1
163,5.47239,4.06748,0.439462,1
105,5.68571,3.82857,0.502513,1
18,8.33333,3.22222,0.733333,1
25,7.76,3.24,0.71134,1
14,7.92857,3,0.747748,1
15,9.26667,3.26667,0.755396,1
41,6.46341,3.46341,0.618868,1
79,5.4557,3.60759,0.522042,1
181,6.46961,3.88398,0.554227,1
175,5.51429,4.11429,0.435233,1
41,6.63415,3.5122,0.621324,1
15,8.26667,3.13333,0.741935,1
118,5.74576,3.89831,0.495575,1
266,5.33835,4.23684,0.393662,1
117,6.10256,3.93162,0.519608,1
94,5.89362,3.75532,0.532491,1
17,9.17647,3.58824,0.717949,1
267,5.04869,4.1236,0.381306,1
4,14.75,2.5,0.898305,1
68,5.76471,3.55882,0.556122,1
88,5.75,3.71591,0.527668,1
24,4.54167,3.875,0.366972,1
37,6.54054,3.45946,0.623967,1
15,9.13333,3.46667,0.729927,1
14,7,3.07143,0.704082,1
3,15.3333,2.33333,0.913043,1
98,5.88776,3.81633,0.521664,1
17,8.47059,3.29412,0.729167,1
17,8.47059,3.29412,0.729167,1
3,11,2.33333,0.878788,1
61,5.86885,3.39344,0.592179,1
941,6.45271,6.11371,0.20751,1
3,20,2.66667,0.916667,1
104,6.04808,4.13462,0.481717,1
51,5.76471,3.35294,0.591837,1
9,8.22222,3,0.756757,1
52,6.51923,3.63462,0.59587,1
157,5.29299,3.88535,0.454874,1
308,5.2987,4.48052,0.343137,1
37,6.86486,3.35135,0.65748,1
105,5.9619,3.97143,0.501597,1
9,10.7778,3.11111,0.804124,1
4,11.5,2.5,0.869565,1
58,5.87931,3.41379,0.589443,1
505,4.93861,4.42772,0.305934,1
7,9.71429,3,0.794118,1
20,7.65,3.1,0.72549,1
4,12,2.5,0.875,1
260,5.44615,4.34615,0.385593,1
38,6.5,3.47368,0.619433,1
43,6.32558,3.51163,0.602941,1
43,6.32558,3.44186,0.613971,1
510,4.96667,4.62941,0.269246,1
