num_rules,average_rule_length,average_rule_usage,stddev_rule_length,stddev_rule_usage,proportion_terminal_characters,spam
89,5.78652,3.73034,35.0949,1.79427,0.425665,1
208,5.71635,4.34135,52.5665,2.6337,0.301036,1
243,5.19342,4.19753,46.596,2.61801,0.241294,1
175,5.00571,3.78286,35.7206,1.98961,0.2726,1
214,6.09813,4.54673,59.5363,2.79605,0.299342,1
367,6.297,5.30518,81.7885,3.72371,0.2,1
47,6.12766,3.38298,25.9587,1.44477,0.484848,1
120,5.84167,4.075,40.812,2.18389,0.349106,1
108,5.37037,3.74074,32.5581,2.08775,0.360406,1
346,5.3526,4.51734,57.0609,3.62968,0.199497,1
70,5.74286,3.5,28.9313,1.44173,0.419593,1
77,6.27273,3.72727,37.1342,1.57197,0.473137,1
126,5.84921,4.07937,40.9847,2.12544,0.340156,1
49,6.38776,3.65306,29.5378,2.33038,0.485411,1
97,5.57732,3.90722,30.9858,2.13745,0.302924,1
62,6.56452,3.64516,35.2666,1.90158,0.509434,1
90,6.66667,3.85556,42.969,1.9639,0.468579,1
151,5.64238,3.95364,42.9011,1.75612,0.338616,1
291,6.14433,4.82818,69.8713,3.2153,0.25943,1
41,6.17073,3.46341,23.0227,1.37215,0.393782,1
49,6.38776,3.65306,29.5378,2.33038,0.485411,1
42,6.69048,3.45238,29.4113,1.41762,0.557994,1
1,11,1,0,1,1,1
25,6.96,3.28,20.9427,1.41478,0.536697,1
647,5.08964,4.80989,71.6891,4.00012,0.116603,1
110,6.03636,3.99091,40.0395,2.12558,0.358672,1
104,6.375,3.96154,43.9106,1.89088,0.436118,1
411,4.9708,4.58881,56.2565,3.3413,0.137066,1
165,5.6303,4.13333,45.7108,2.15191,0.333333,1
104,5.88462,3.99038,38.4418,1.92901,0.364407,1
141,5.55319,3.63121,36.9965,1.77417,0.298119,1
54,6.07407,3.40741,27.7521,1.48472,0.488889,1
48,5.72917,3.41667,22.8589,1.42644,0.384058,1
38,6.28947,3.39474,25.764,1.47861,0.542125,1
103,5.41748,3.6699,30.9712,1.67731,0.348093,1
412,6.00728,5.07039,80.8457,3.44829,0.204825,1
137,5.46715,3.82482,37.5327,2.03042,0.342803,1
106,5.38679,3.66981,28.1266,1.57649,0.243243,1
309,6.35275,4.1521,76.1058,2.1292,0.394968,1
17,8.94118,3.29412,26.523,1.38329,0.684848,1
141,5.55319,4.04965,40.1044,2.22757,0.309107,1
4,12.75,2.75,18.0468,1.47902,0.830189,1
302,6.39073,4.16556,75.946,2.12967,0.399508,1
333,5.29429,4.44745,53.0736,3.51032,0.199029,1
49,6.65306,3.4898,31.8052,1.49315,0.544,1
135,5.12593,3.73333,33.69,1.84872,0.33893,1
140,5.33571,3.7,36.1984,1.83108,0.341351,1
263,5.90875,4.5057,61.6645,2.59038,0.275983,1
206,5.08738,4.19417,41.2785,2.35474,0.224267,1
76,6.32895,3.68421,37.0286,1.87231,0.485114,1
311,6.58521,4.3119,80.6174,2.49742,0.398279,1
82,5.56098,3.7439,27.8472,1.75868,0.332853,1
264,5.37879,4.27273,50.6748,2.98377,0.242583,1
297,4.78788,3.99327,43.8442,2.27487,0.198732,1
42,7.16667,3.42857,32.7712,1.56057,0.604863,1
44,6.15909,3.43182,24.5542,1.4832,0.480938,1
353,5.96034,4.95184,73.6101,3.51733,0.219098,1
71,6.16901,3.64789,34.1649,1.58868,0.462963,1
143,5.2028,3.75524,35.41,1.92414,0.32833,1
309,5.19417,4.35922,50.5519,3.05618,0.197975,1
307,6.27687,4.15309,74.3576,2.36754,0.387945,1
50,6.52,3.38,30.9278,1.34,0.564033,1
20,7.65,3.35,24.6278,1.49248,0.646341,1
268,6.22761,4.03731,68.9574,2.37809,0.420147,1
59,5.9661,3.57627,29.8118,1.55905,0.45977,1
152,5.95395,4.24342,47.4507,2.20942,0.338259,1
4,14,2.5,20.2114,1.32288,0.877193,1
482,5.24896,4.64315,65.111,3.92318,0.162264,1
112,5.82143,3.99107,39.7874,2.05068,0.354586,1
83,5.59036,3.63855,30.1994,1.67244,0.413153,1
149,6.06711,4.2349,48.7402,2.19789,0.35196,1
135,5.9037,4.08148,43.8941,2.33667,0.359095,1
120,5.475,3.86667,36.8099,1.90146,0.357714,1
25,6.08,3.24,17.8032,1.25793,0.497409,1
404,5.07921,4.52228,57.1891,3.19142,0.155347,1
73,5.68493,3.54795,29.6259,1.55749,0.448141,1
67,6.40299,3.79104,29.9562,1.76227,0.396072,1
26,7.57692,3.38462,26.1051,1.49556,0.58952,1
119,6.01681,4.0084,43.0823,1.98734,0.396018,1
172,5.81977,4.1686,48.807,2.29776,0.335541,1
28,7.14286,3.17857,22.1677,1.33774,0.556,1
75,5.82667,3.81333,28.4086,1.77534,0.350388,1
88,5.69318,3.70455,33.6983,1.74616,0.416799,1
69,5.95652,3.55072,32.0215,1.82603,0.487552,1
388,4.86856,4.19845,46.6662,2.52192,0.160674,1
323,5.09598,4.31269,51.2193,3.37374,0.205421,1
327,5.9633,4.88685,70.7289,3.24241,0.232534,1
102,5.53922,3.70588,33.5847,1.80733,0.385848,1
331,5.12387,4.50755,54.1631,2.92594,0.173027,1
167,5.71856,4.08982,47.214,2.16484,0.350359,1
74,5.74324,3.71622,31.1661,1.74387,0.424242,1
47,6.61702,3.65957,31.1671,1.45539,0.490765,1
18,7.77778,3.38889,22.856,1.49588,0.625806,1
17,8.64706,3.52941,26.3393,1.55744,0.65,1
237,5.13502,4.2827,45.8854,2.70416,0.21983,1
34,6.44118,3.41176,24.8196,1.4974,0.541502,1
1,11,1,0,1,1,1
87,5.5977,3.73563,29.0285,1.72846,0.365639,1
164,5.79268,4.0122,45.4576,2.24148,0.349425,1
29,7,3.24138,22.178,1.36849,0.545455,1
22,6.90909,3.27273,21.6268,1.35451,0.566667,1
1,11,1,0,1,1,1
367,5.21526,4.59128,58.378,3.16989,0.173055,1
665,6.24812,5.65414,108.186,4.80154,0.148501,1
394,6.01269,5.0533,78.9435,3.56017,0.208874,1
18,8.55556,3.44444,26.7877,1.60631,0.654762,1
66,6.51515,3.75758,36.2785,1.84276,0.496994,1
294,4.82653,4,44.4743,2.16182,0.200149,1
57,6.50877,3.49123,33.0752,1.65034,0.440385,1
104,5.76923,3.88462,36.5827,1.93305,0.382166,1
335,6.07164,5.05672,73.6463,3.32019,0.214422,1
85,5.51765,3.76471,29.4453,1.76999,0.366771,1
19,7.89474,3.10526,24.5398,1.18742,0.6875,1
1,11,1,0,1,1,1
117,6.53846,3.93162,43.169,2.47803,0.387156,1
294,4.82653,4,44.4743,2.16182,0.200149,1
37,6.45946,3.54054,25.27,1.72571,0.488215,1
254,4.83465,4.04724,41.5098,2.21789,0.215575,1
21,7.09524,3.19048,21.8978,1.31363,0.628049,1
20,7.45,3.35,23.2991,1.38834,0.618182,1
305,5.39016,4.40328,53.6227,3.27854,0.209761,1
