num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
81,6.02469,3.74074,0.545082,0
115,5.53913,3.88696,0.478807,0
286,4.96503,4.36713,0.321831,0
187,4.91979,3.87701,0.415217,0
49,6,3.44898,0.591837,0
224,5.35268,4.24554,0.393661,0
81,5.35802,3.51852,0.529954,0
163,4.8589,3.86503,0.410354,0
678,5.00295,4.82153,0.236144,0
114,5.28947,3.95614,0.441128,0
227,4.76211,3.98678,0.372803,0
161,4.90683,3.78261,0.432911,0
14,7.78571,2.85714,0.761468,0
46,5.97826,3.32609,0.610909,0
33,6.48485,3.36364,0.635514,0
235,5.37872,4.45532,0.357595,0
94,5.18085,3.67021,0.4846,0
80,5.425,3.65,0.511521,0
141,5.02837,3.80142,0.442877,0
138,5.0942,3.77536,0.455192,0
220,5.06364,4.06364,0.394973,0
30,7.86667,3.6,0.669492,0
81,5.35802,3.53086,0.52765,0
262,4.77099,4.10305,0.3496,0
74,5.40541,3.59459,0.52,0
131,5.0229,3.76336,0.449848,0
69,5.47826,3.52174,0.539683,0
252,5.19841,4.23413,0.377863,0
115,5.61739,3.89565,0.48452,0
351,5.00855,4.41595,0.317975,0
274,5.16788,4.25182,0.370763,0
62,5.66129,3.46774,0.564103,0
75,5.56,3.65333,0.522782,0
88,5.15909,3.51136,0.513216,0
38,6,3.31579,0.614035,0
486,5.09259,4.63374,0.286465,0
292,4.96233,4.26027,0.342995,0
241,4.87552,4.21992,0.339574,0
38,5.84211,3.39474,0.59009,0
68,5.70588,3.5,0.561856,0
129,5.44961,3.93023,0.462304,0
340,5.16176,4.52059,0.317949,0
